code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,click_total,final_result
AAA,2013J,334333,2,10,2,1,1,1,0,240,303,4
AAA,2013J,335764,2,8,2,3,1,2,0,60,3928,4
AAA,2013J,336207,1,1,2,10,1,2,0,120,1316,2
AAA,2013J,339972,1,5,2,9,1,2,0,60,333,2
AAA,2013J,341872,1,1,1,5,1,2,0,180,201,3
AAA,2013J,342007,2,12,3,8,1,2,0,60,3178,4
AAA,2013J,342514,1,7,1,6,3,2,0,60,1950,2
AAA,2013J,342972,1,13,3,1,1,2,0,60,838,2
AAA,2013J,343446,1,3,3,8,2,2,0,120,3644,2
AAA,2013J,344282,1,13,2,2,1,2,0,60,65,3
AAA,2013J,345068,1,1,2,7,1,1,0,180,547,2
AAA,2013J,345357,1,13,2,4,1,2,0,60,2219,1
AAA,2013J,346025,1,1,2,6,1,2,0,120,569,2
AAA,2013J,346843,2,7,3,6,2,2,0,120,164,3
AAA,2013J,350188,1,6,3,9,2,2,0,60,761,2
AAA,2013J,354858,1,9,3,10,2,2,0,120,198,4
AAA,2013J,357668,1,13,2,2,1,2,0,60,166,3
AAA,2013J,364177,1,1,1,8,2,2,0,60,821,3
AAA,2013J,365244,2,4,2,1,1,2,0,120,891,2
AAA,2013J,365642,1,1,1,2,2,2,0,60,2129,2
AAA,2013J,366483,1,10,3,5,1,2,0,60,1465,2
AAA,2013J,368194,2,10,2,6,1,1,0,120,437,2
AAA,2013J,368824,1,11,3,6,2,2,0,120,292,3
AAA,2013J,368963,1,13,1,1,1,2,0,180,677,2
AAA,2013J,376439,1,5,3,0,1,2,0,60,2342,1
AAA,2013J,376581,2,9,2,9,2,2,0,60,2333,2
AAA,2013J,380953,1,2,2,9,1,2,0,60,1062,2
AAA,2013J,383254,1,13,2,10,1,2,0,120,543,2
AAA,2013J,386924,1,3,1,0,1,2,0,120,164,2
AAA,2013J,386952,1,13,2,8,1,2,0,120,910,2
AAA,2013J,388722,2,4,1,9,2,2,0,60,671,2
AAA,2013J,388885,1,10,2,10,2,2,0,60,875,2
AAA,2013J,390890,1,7,2,1,1,2,0,90,997,4
AAA,2013J,392756,1,12,2,8,1,2,0,120,363,3
AAA,2013J,392931,2,6,2,6,2,2,0,120,3003,2
AAA,2013J,393207,1,6,2,7,1,2,0,60,876,2
AAA,2013J,396872,1,13,3,6,1,2,0,180,996,2
AAA,2013J,398552,1,13,1,10,1,2,0,240,1183,3
AAA,2013J,401869,2,8,1,9,1,2,0,60,955,2
AAA,2013J,402470,1,10,1,6,2,2,0,60,1445,2
AAA,2013J,404804,1,11,1,3,2,2,0,120,509,2
AAA,2013J,405088,1,5,2,3,1,2,0,120,1388,2
AAA,2013J,405961,1,7,2,10,1,1,0,240,0,4
AAA,2013J,414117,1,13,2,6,1,2,0,120,807,2
AAA,2013J,415969,1,12,3,1,2,2,0,90,1417,4
AAA,2013J,420087,1,7,2,5,1,1,0,60,342,3
AAA,2013J,429958,2,6,2,8,1,2,0,60,411,2
AAA,2013J,441018,2,8,2,8,1,2,0,150,646,2
AAA,2013J,441888,1,4,2,3,1,2,0,120,739,2
AAA,2013J,442442,1,10,3,9,1,2,0,120,1009,4
AAA,2013J,444677,1,4,3,4,1,2,0,60,1241,1
AAA,2013J,470588,1,8,3,10,2,2,0,60,842,4
AAA,2013J,489455,2,10,2,3,1,2,0,60,2832,2
AAA,2013J,494424,2,5,2,9,1,2,0,60,58,3
AAA,2013J,495284,1,8,3,9,1,2,0,120,901,2
AAA,2013J,498857,1,6,3,9,2,2,0,60,998,2
AAA,2013J,508818,1,4,2,5,1,2,0,120,1129,2
AAA,2013J,512460,1,8,3,10,1,2,0,120,521,2
AAA,2013J,544103,1,6,3,5,1,2,0,120,2328,2
AAA,2013J,550383,1,8,3,7,1,2,0,60,910,2
AAA,2013J,564450,1,12,3,9,1,2,0,120,224,3
AAA,2013J,568601,2,7,3,4,1,2,0,60,488,4
AAA,2013J,572652,1,12,3,8,1,2,0,120,780,2
AAA,2013J,580389,1,3,3,10,1,2,0,120,1271,2
AAA,2013J,581129,1,1,2,4,1,2,0,120,194,3
AAA,2013J,588775,1,10,2,10,1,2,0,120,7067,2
AAA,2013J,591774,1,9,4,10,2,2,0,60,605,2
AAA,2013J,603861,1,5,3,0,3,2,0,60,1105,4
AAA,2013J,606143,1,7,4,10,2,2,0,60,406,3
AAA,2013J,704156,1,9,3,10,3,2,0,120,3064,2
AAA,2013J,705379,1,12,2,7,3,2,0,120,5680,1
AAA,2013J,721259,2,9,1,6,3,2,0,120,4108,4
AAA,2013J,749412,1,9,1,8,3,2,0,60,4007,2
AAA,2013J,760729,1,12,2,7,3,2,0,60,7288,1
AAA,2013J,905042,2,1,2,10,2,2,0,60,3004,2
AAA,2013J,949618,2,10,2,6,2,2,0,60,1357,2
AAA,2013J,958987,1,6,3,5,2,2,0,60,1216,2
AAA,2013J,968578,2,1,2,5,2,2,0,60,870,2
AAA,2013J,969076,1,10,2,9,2,2,0,180,1980,4
AAA,2013J,971027,2,12,3,10,2,2,0,60,3098,2
AAA,2013J,978739,1,9,3,10,2,2,0,60,5988,2
AAA,2013J,1035023,2,4,1,4,2,2,0,60,1896,2
AAA,2013J,1105478,1,7,3,9,3,2,0,60,1695,2
AAA,2013J,1352868,1,13,2,3,2,2,0,60,1732,4
AAA,2013J,1401935,1,12,2,8,2,2,0,60,240,3
AAA,2013J,1402638,2,2,3,4,2,2,0,60,910,2
AAA,2013J,1414443,2,13,2,2,2,2,0,120,1907,3
AAA,2013J,1456619,1,10,2,10,2,2,0,60,1173,4
AAA,2013J,1465690,1,12,3,5,2,2,0,120,3460,2
AAA,2013J,1472925,2,1,1,5,2,1,0,60,1462,3
AAA,2013J,1488959,1,4,2,8,2,2,0,60,3493,2
AAA,2013J,1518989,2,8,1,9,2,2,0,60,4202,2
AAA,2013J,1618738,1,4,1,10,2,2,0,60,723,2
AAA,2013J,1620151,1,9,3,10,2,2,0,60,998,3
AAA,2013J,1626710,1,6,2,7,2,2,0,60,6025,1
AAA,2013J,1640609,1,12,2,4,2,2,0,60,5061,2
AAA,2013J,1686521,2,6,1,6,2,2,0,60,643,4
AAA,2013J,1729319,2,7,3,5,2,2,0,60,2756,2
AAA,2013J,1746134,1,1,2,7,2,2,0,60,1759,2
AAA,2013J,1758449,1,9,1,4,2,2,0,75,2756,4
AAA,2013J,1763015,2,7,2,2,2,2,0,60,420,4
AAA,2013J,1765788,1,8,3,8,3,2,0,60,7057,2
AAA,2013J,1801229,1,3,3,0,2,2,0,60,1443,2
AAA,2013J,1801641,1,7,2,4,2,2,0,60,459,2
AAA,2013J,1847830,1,10,1,5,2,2,0,60,6518,2
AAA,2013J,1860318,1,10,1,5,2,1,0,300,5975,2
AAA,2013J,1889511,1,13,2,6,2,2,0,60,1754,2
AAA,2013J,1889577,2,9,2,8,2,1,0,60,931,2
AAA,2013J,1894188,2,2,2,9,1,2,0,60,4294,2
AAA,2013J,1938355,1,9,2,10,2,2,0,60,1992,2
AAA,2013J,1942396,2,1,1,5,2,1,0,120,470,2
AAA,2013J,1970390,1,12,1,1,2,2,0,60,14759,4
AAA,2013J,1976139,1,3,1,6,2,2,0,120,1216,2
AAA,2013J,2011876,2,1,2,10,1,1,0,60,1401,2
AAA,2013J,2012966,1,6,1,4,2,2,0,60,519,2
AAA,2013J,2051699,2,10,1,8,2,2,0,60,1734,2
AAA,2013J,2062879,2,1,2,7,1,2,0,60,2386,3
AAA,2013J,2065691,1,4,2,4,2,1,0,330,1430,4
AAA,2013J,2073016,2,4,1,4,2,2,0,60,1022,4
AAA,2013J,2080474,2,9,2,10,2,2,0,60,1146,2
AAA,2013J,2083877,2,12,2,1,1,2,0,120,685,2
AAA,2013J,2084066,2,10,1,6,2,2,0,60,1967,3
AAA,2013J,2104505,1,12,1,1,2,2,0,60,701,2
AAA,2013J,2122180,2,6,1,9,2,2,0,60,4712,1
AAA,2013J,2139353,1,4,2,6,2,2,0,120,2388,4
AAA,2013J,2143752,2,9,1,8,2,2,0,60,1888,2
AAA,2013J,2146792,1,6,3,3,3,2,0,60,2385,2
AAA,2013J,2149225,1,7,2,8,2,1,0,60,319,4
AAA,2013J,2153153,2,13,2,5,1,2,0,60,3385,2
AAA,2013J,2155014,2,12,1,9,1,1,0,60,1454,2
AAA,2013J,2164705,2,6,2,5,1,2,0,120,231,3
AAA,2013J,2171627,2,13,2,4,2,2,0,60,1346,2
AAA,2013J,2182846,2,4,2,8,2,2,0,60,4214,2
AAA,2013J,2194100,2,1,2,6,2,2,0,60,1401,2
AAA,2013J,2197016,2,6,3,4,2,2,0,60,1455,2
AAA,2013J,2208424,1,7,2,3,1,2,0,60,1080,2
AAA,2013J,2229865,2,12,2,2,2,2,0,60,3236,2
AAA,2013J,2255601,2,9,2,9,2,2,0,120,2543,4
AAA,2013J,2268379,2,2,2,3,1,2,0,60,1685,2
AAA,2013J,2278464,1,9,1,4,2,2,0,60,307,2
AAA,2013J,2293923,1,9,2,10,1,2,0,150,303,2
AAA,2013J,2312620,2,2,3,3,2,2,0,60,1129,4
AAA,2013J,2318055,1,11,2,10,2,2,0,60,1726,4
AAA,2013J,2324976,2,7,3,10,2,2,0,60,0,4
AAA,2013J,2329342,2,1,1,5,2,2,0,120,565,2
AAA,2013J,2339528,2,4,1,5,1,2,0,60,593,1
AAA,2013J,2342426,1,13,1,3,2,2,0,60,1814,3
AAA,2013J,2344901,2,13,2,7,1,2,0,60,445,3
AAA,2013J,2358056,2,5,3,0,1,2,0,60,1588,3
AAA,2013J,2358969,2,1,2,8,1,2,0,180,2106,4
AAA,2013J,2364471,2,7,3,10,1,1,0,60,7182,2
AAA,2013J,2365101,1,8,3,3,1,2,0,300,0,4
AAA,2013J,2367155,2,1,2,9,1,2,0,120,2148,2
AAA,2013J,2369266,2,4,1,8,2,2,0,60,2146,2
AAA,2013J,2376496,2,2,2,3,1,2,0,120,749,2
AAA,2013J,2391984,1,9,2,10,1,2,0,60,818,4
AAA,2013J,2411661,2,9,2,9,1,2,0,120,574,3
AAA,2013J,2411778,1,7,3,3,1,2,0,120,1497,4
AAA,2013J,2412002,1,10,1,6,2,2,0,90,3344,1
AAA,2013J,2412967,2,9,2,9,2,2,0,60,2458,2
AAA,2013J,2429854,1,4,2,2,2,1,0,120,953,4
AAA,2013J,2437837,2,5,2,4,1,2,0,60,2684,2
AAA,2013J,2449878,2,2,2,4,1,2,0,60,622,2
AAA,2013J,2456480,1,7,1,9,2,2,0,120,183,3
AAA,2013J,2457256,1,9,1,9,2,2,0,180,1611,2
AAA,2013J,2458355,1,4,1,9,2,2,0,60,4187,2
AAA,2013J,2460080,1,7,3,10,3,2,0,60,3424,2
AAA,2013J,2461190,1,9,3,8,3,2,0,60,967,3
AAA,2013J,2469673,2,13,1,3,2,2,0,60,523,3
AAA,2013J,2470694,2,7,3,6,3,2,0,60,3115,4
AAA,2013J,2479954,1,6,2,5,1,2,0,60,323,2
AAA,2013J,2481901,1,11,1,9,2,2,0,60,1949,2
AAA,2013J,2482700,1,9,1,10,1,2,0,120,1616,2
AAA,2013J,2486127,2,1,3,10,1,2,0,120,1690,2
AAA,2013J,2498700,2,6,1,5,1,2,0,240,2864,2
AAA,2013J,2516503,1,8,3,5,2,2,0,60,3070,2
AAA,2013J,2518069,1,2,2,10,1,2,0,60,1617,2
AAA,2013J,2521459,2,4,1,2,1,2,0,60,1078,2
AAA,2013J,2523736,1,6,2,3,3,2,0,120,470,2
AAA,2013J,2529279,2,6,3,7,2,2,0,60,1189,2
AAA,2013J,2532302,2,1,2,9,1,2,0,60,1216,2
AAA,2013J,2536991,1,9,3,10,3,2,0,60,1080,1
AAA,2013J,2542724,2,12,1,5,1,2,0,60,228,4
AAA,2013J,2550279,2,5,3,0,2,2,0,60,2809,2
AAA,2013J,2551220,2,9,1,10,1,2,0,60,1327,2
AAA,2013J,2552472,2,9,3,9,2,2,0,120,519,4
AAA,2013J,2555340,2,9,3,10,2,2,0,60,4441,2
AAA,2013J,2557283,1,13,3,9,3,2,0,60,7262,2
AAA,2013J,2559575,1,10,1,4,1,2,0,60,650,2
AAA,2013J,2562034,1,1,2,8,1,2,0,60,248,2
AAA,2013J,2566163,2,9,2,9,1,2,0,60,1591,2
AAA,2013J,2566592,2,9,2,10,2,2,0,60,1359,2
AAA,2013J,2569324,1,9,2,10,1,2,0,120,493,4
AAA,2013J,2574528,1,3,3,0,2,2,0,60,988,2
AAA,2013J,2574583,1,13,1,8,2,2,0,60,1890,2
AAA,2013J,2576122,1,6,2,8,1,2,0,60,261,4
AAA,2013J,2578995,2,12,2,2,1,1,0,60,1326,2
AAA,2013J,2586560,2,1,1,9,2,2,0,60,2905,2
AAA,2013J,2594139,2,10,2,6,1,2,0,60,1868,2
AAA,2013J,2598871,2,1,2,9,2,2,0,60,2049,2
AAA,2013J,2599352,2,7,2,4,1,2,0,120,1160,2
AAA,2013J,2600688,1,12,2,3,1,2,0,60,582,2
AAA,2013J,2606098,2,2,2,10,1,2,0,60,491,2
AAA,2013J,2613116,2,4,1,2,2,2,0,60,1181,2
AAA,2013J,2617002,2,13,2,9,1,2,0,60,1473,2
AAA,2013J,2620584,1,12,2,5,1,1,0,60,92,3
AAA,2013J,2639449,1,2,2,2,1,2,0,120,797,2
AAA,2013J,2639540,2,6,2,10,2,2,0,60,1964,2
AAA,2013J,2639641,1,8,1,4,2,2,0,120,2042,2
AAA,2013J,2641155,1,2,1,6,2,2,0,60,4109,2
AAA,2013J,2643002,2,10,2,9,2,2,0,60,2434,2
AAA,2013J,2645733,2,10,2,5,1,2,0,180,1596,2
AAA,2013J,2649826,1,1,1,7,2,2,0,60,5974,1
AAA,2013J,2650282,1,4,2,1,2,2,0,60,641,2
AAA,2013J,2664024,1,8,3,10,2,2,0,60,808,2
AAA,2013J,2666246,1,6,2,10,1,2,0,60,612,2
AAA,2013J,2669816,1,13,2,10,1,2,0,60,280,3
AAA,2013J,2671132,1,4,3,3,3,2,0,60,3720,2
AAA,2013J,2676809,2,5,3,2,1,2,0,150,309,3
AAA,2013J,2678643,2,9,2,9,1,2,0,60,2287,2
AAA,2013J,2685865,2,2,1,4,1,2,0,60,2815,2
AAA,2013J,2688067,1,1,2,2,1,2,0,60,289,2
AAA,2013J,2689958,1,1,2,5,2,2,0,60,3929,1
AAA,2013J,2691206,2,12,2,6,1,2,0,60,2297,1
AAA,2013J,2691244,1,9,2,5,2,2,0,180,472,2
AAA,2013J,2694424,1,1,2,8,2,2,0,120,4218,2
AAA,2013J,2698257,1,2,1,7,1,2,0,120,758,2
AAA,2014J,6516,1,7,3,9,3,2,0,60,2791,2
AAA,2014J,24734,2,9,1,7,1,2,0,60,499,2
AAA,2014J,26192,2,1,2,7,2,2,0,60,2223,1
AAA,2014J,28061,1,13,1,5,2,2,0,60,1590,2
AAA,2014J,31600,2,10,2,5,1,2,0,60,429,2
AAA,2014J,46844,1,5,3,4,2,2,0,60,340,2
AAA,2014J,52765,2,13,1,1,2,2,0,120,4938,2
AAA,2014J,55104,2,12,2,7,1,2,0,60,1480,2
AAA,2014J,58071,1,1,3,10,3,2,0,60,3648,2
AAA,2014J,58316,2,11,2,8,1,2,0,120,1295,2
AAA,2014J,62487,2,2,2,2,1,2,0,60,683,2
AAA,2014J,63165,1,8,2,9,2,2,0,60,912,2
AAA,2014J,70011,2,7,3,5,1,2,0,60,6396,2
AAA,2014J,75255,1,6,2,5,1,2,0,120,950,2
AAA,2014J,79403,1,9,1,9,2,2,0,60,1782,4
AAA,2014J,85092,2,10,1,4,1,2,0,60,665,2
AAA,2014J,85144,1,7,2,6,2,2,0,60,656,2
AAA,2014J,85302,1,4,1,9,2,2,0,60,2280,2
AAA,2014J,87431,1,8,1,2,2,2,0,60,802,4
AAA,2014J,95755,1,8,1,10,1,2,0,60,381,4
AAA,2014J,101116,2,1,1,7,2,2,0,60,1769,2
AAA,2014J,107489,2,4,3,3,1,2,0,60,3722,2
AAA,2014J,108872,1,4,3,9,3,2,0,60,1377,2
AAA,2014J,109155,2,9,3,10,1,2,0,60,3019,2
AAA,2014J,111512,1,11,2,5,1,2,0,60,439,3
AAA,2014J,117818,2,4,2,5,2,2,0,60,1695,2
AAA,2014J,119902,2,10,2,7,2,2,0,60,2590,4
AAA,2014J,121349,2,10,2,5,2,2,1,60,2259,2
AAA,2014J,124064,2,8,2,7,1,2,0,120,2042,1
AAA,2014J,125018,1,9,3,8,2,2,0,60,2195,2
AAA,2014J,130034,2,1,2,7,2,2,0,60,1831,2
AAA,2014J,130547,2,9,2,8,2,2,0,60,1252,2
AAA,2014J,130636,1,8,2,2,1,2,0,60,332,2
AAA,2014J,131390,1,1,2,10,2,2,0,60,157,2
AAA,2014J,133816,2,9,2,8,2,2,0,60,4000,2
AAA,2014J,133922,1,5,1,1,1,2,0,60,574,2
AAA,2014J,135471,1,1,1,10,2,2,0,60,2291,1
AAA,2014J,139033,1,8,2,10,2,2,0,60,790,3
AAA,2014J,141506,1,7,2,3,2,2,0,60,415,3
AAA,2014J,146503,1,1,1,4,2,1,0,120,368,2
AAA,2014J,149741,2,7,2,3,2,2,0,60,2342,2
AAA,2014J,149962,1,12,2,7,1,2,0,60,141,2
AAA,2014J,151587,2,11,2,1,1,2,0,120,166,4
AAA,2014J,152668,2,9,1,10,1,2,0,60,765,4
AAA,2014J,158707,2,8,2,9,1,2,0,60,4746,4
AAA,2014J,164944,2,1,2,5,1,1,0,60,1300,2
AAA,2014J,165226,2,11,2,4,1,2,0,60,1062,3
AAA,2014J,167961,1,10,3,8,3,2,0,60,2129,2
AAA,2014J,174024,1,5,2,2,2,2,0,60,812,2
AAA,2014J,174094,2,8,1,4,2,1,0,60,4841,2
AAA,2014J,174745,2,2,2,8,2,2,0,60,1610,2
AAA,2014J,175447,1,4,2,6,2,2,0,60,3779,2
AAA,2014J,175772,2,1,3,10,2,2,0,270,3018,4
AAA,2014J,183057,1,11,1,10,1,2,0,60,833,2
AAA,2014J,185350,1,13,1,2,2,2,0,60,236,3
AAA,2014J,199636,1,1,2,4,2,2,0,60,1836,2
